Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
262,4,4,Лок.отопл.,"град София, Витоша",2020,МНОГОСТАЕН,Тухла,230000
262,5,6,,"град София, Център",2021,4-СТАЕН,Тухла,290000
262,5,6,ДА,"град София, Център",2021,4-СТАЕН,Тухла,289990
262,6,6,ДА,"град София, Оборище",2020,4-СТАЕН,Тухла,290000
262,4,4,,"град София, Витоша",2019,4-СТАЕН,Тухла,229300
262,1,5,,"град София, Яворов",2020,3-СТАЕН,Тухла,380000
262,6,7,НЕ,"град София, Витоша",2020,3-СТАЕН,Тухла,370000
262,4,4,,"град София, Витоша",2019,4-СТАЕН,Тухла,229300
261,7,8,НЕ,"град София, Дианабад",2008,МНОГОСТАЕН,Тухла,399000
261,4,4,,"град София, Витоша",2020,4-СТАЕН,Тухла,229300
261,7,8,,"град София, Оборище",2019,3-СТАЕН,Тухла,310000
261,3,4,НЕ,"град София, Витоша",2015,МНОГОСТАЕН,Тухла,280000
260,5,6,,"град София, Бояна",2010,МЕЗОНЕТ,Тухла,244500
260,3,4,НЕ,"град София, Център",1940,МНОГОСТАЕН,Тухла,380000
260,7,7,ДА,"град София, Стрелбище",2019,МНОГОСТАЕН,Тухла,299900
260,5,7,НЕ,"град София, Манастирски ливади",2009,МНОГОСТАЕН,Тухла,399000
260,5,6,ДА,"град София, Лозенец",1995,МНОГОСТАЕН,Тухла,435000
260,3,4,Лок.отопл.,"град София, Карпузица",2019,МНОГОСТАЕН,Тухла,233000
260,3,4,ДА,"град София, Изток",1990,МНОГОСТАЕН,Тухла,260000
260,5,7,,"град София, Гоце Делчев",2010,МНОГОСТАЕН,Тухла,399000
260,2,5,НЕ,"град София, Бояна",2010,МНОГОСТАЕН,Тухла,500000
260,5,6,,"град София, Яворов",1995,4-СТАЕН,Тухла,395000
260,5,6,ДА,"град София, Център",2021,4-СТАЕН,Тухла,290000
260,3,5,ДА,"град София, Лозенец",2012,4-СТАЕН,Тухла,500000
260,3,6,,"град София, Лозенец",2013,4-СТАЕН,Тухла,465000
260,2,4,,"град София, Бояна",2009,4-СТАЕН,Тухла,500000
260,7,7,ДА,"град София, Стрелбище",2006,3-СТАЕН,Тухла,235000
259,5,7,ДА,"град София, Стрелбище",2009,МНОГОСТАЕН,Тухла,420000
259,2,3,,"град София, Симеоново",2019,МНОГОСТАЕН,Тухла,387435
259,4,5,Лок.отопл.,"град София, Бояна",2012,МНОГОСТАЕН,Тухла,285000
258,6,6,ДА,"град София, Хладилника",2020,МНОГОСТАЕН,Тухла,350000
258,6,13,ДА,"град София, Младост 2",1990,МНОГОСТАЕН,ПК,280000
258,6,14,ДА,"град София, Младост 2",1980,МНОГОСТАЕН,ЕПК,279000
258,8,10,Лок.отопл.,"град София, Гоце Делчев",2010,МНОГОСТАЕН,Тухла,198000
